2026-02-09 08:43:13 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 300,000 rows so far...
2026-02-09 08:43:32 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 350,000 rows so far...
2026-02-09 08:43:50 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 400,000 rows so far...
2026-02-09 08:44:11 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 450,000 rows so far...
2026-02-09 08:44:29 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 500,000 rows so far...
2026-02-09 08:44:48 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 550,000 rows so far...
2026-02-09 08:45:06 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 600,000 rows so far...
2026-02-09 08:45:24 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 650,000 rows so far...
2026-02-09 08:45:42 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 700,000 rows so far...
2026-02-09 08:46:00 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 750,000 rows so far...
2026-02-09 08:46:19 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 800,000 rows so far...
2026-02-09 08:46:38 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 850,000 rows so far...
2026-02-09 08:46:56 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 900,000 rows so far...
2026-02-09 08:47:14 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 950,000 rows so far...
2026-02-09 08:47:32 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,000,000 rows so far...
2026-02-09 08:47:50 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,050,000 rows so far...
2026-02-09 08:48:08 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,100,000 rows so far...
2026-02-09 08:48:26 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,150,000 rows so far...
2026-02-09 08:48:46 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,200,000 rows so far...
2026-02-09 08:49:04 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,250,000 rows so far...
2026-02-09 08:49:22 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,300,000 rows so far...
2026-02-09 08:49:41 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,350,000 rows so far...
2026-02-09 08:49:59 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,400,000 rows so far...
2026-02-09 08:50:17 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,450,000 rows so far...
2026-02-09 08:50:34 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,500,000 rows so far...
2026-02-09 08:50:51 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,550,000 rows so far...
2026-02-09 08:51:10 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,600,000 rows so far...
2026-02-09 08:51:29 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,650,000 rows so far...
2026-02-09 08:51:47 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,700,000 rows so far...
2026-02-09 08:52:05 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,750,000 rows so far...
2026-02-09 08:52:22 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,800,000 rows so far...
2026-02-09 08:52:41 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,850,000 rows so far...
2026-02-09 08:53:01 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,900,000 rows so far...
2026-02-09 08:53:23 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 1,950,000 rows so far...
2026-02-09 08:53:45 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,000,000 rows so far...
2026-02-09 08:54:03 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,050,000 rows so far...
2026-02-09 08:54:23 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,100,000 rows so far...
2026-02-09 08:54:42 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,150,000 rows so far...
2026-02-09 08:55:02 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,200,000 rows so far...
2026-02-09 08:55:21 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,250,000 rows so far...
2026-02-09 08:55:41 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,300,000 rows so far...
2026-02-09 08:56:01 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,350,000 rows so far...
2026-02-09 08:56:20 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,400,000 rows so far...
2026-02-09 08:56:38 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,450,000 rows so far...
2026-02-09 08:56:56 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,500,000 rows so far...
2026-02-09 08:57:15 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,550,000 rows so far...
2026-02-09 08:57:35 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,600,000 rows so far...
2026-02-09 08:57:54 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,650,000 rows so far...
2026-02-09 08:58:12 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,700,000 rows so far...
2026-02-09 08:58:31 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,750,000 rows so far...
2026-02-09 08:58:49 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,800,000 rows so far...
2026-02-09 08:59:08 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,850,000 rows so far...
2026-02-09 08:59:27 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,900,000 rows so far...
2026-02-09 08:59:46 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 2,950,000 rows so far...
2026-02-09 09:00:05 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,000,000 rows so far...
2026-02-09 09:00:23 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,050,000 rows so far...
2026-02-09 09:00:42 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,100,000 rows so far...
2026-02-09 09:01:01 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,150,000 rows so far...
2026-02-09 09:01:20 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,200,000 rows so far...
2026-02-09 09:01:39 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,250,000 rows so far...
2026-02-09 09:01:58 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,300,000 rows so far...
2026-02-09 09:02:17 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,350,000 rows so far...
2026-02-09 09:02:36 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,400,000 rows so far...
2026-02-09 09:02:54 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,450,000 rows so far...
2026-02-09 09:03:14 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,500,000 rows so far...
2026-02-09 09:03:34 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,550,000 rows so far...
2026-02-09 09:03:52 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,600,000 rows so far...
2026-02-09 09:04:12 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,650,000 rows so far...
2026-02-09 09:04:31 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,700,000 rows so far...
2026-02-09 09:04:50 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,750,000 rows so far...
2026-02-09 09:05:09 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,800,000 rows so far...
2026-02-09 09:05:28 | INFO     | Data_pull.ops.copy_cast_to_staging | copy_cast_to_staging | [bccp_orderitem] Inserted 3,850,000 rows so far...
